hemi,region,side,label,index
right,Lat. Occipital Cortex inf.,lateral,rh_Lateral.Occipital.Cortex..inferior.division,46
left,Intracalcarine Cortex,medial,lh_Intracalcarine.Cortex,47
right,Intracalcarine Cortex,medial,rh_Intracalcarine.Cortex,48
left,Frontal Medial Cortex,medial,lh_Frontal.Medial.Cortex,49
right,Frontal Medial Cortex,medial,rh_Frontal.Medial.Cortex,50
left,Juxtapositional Lobule Cortex,medial,lh_Juxtapositional.Lobule.Cortex..formerly.Supplementary.Motor.Cortex.,51
right,Juxtapositional Lobule Cortex,medial,rh_Juxtapositional.Lobule.Cortex..formerly.Supplementary.Motor.Cortex.,52
left,Subcallosal Cortex,medial,lh_Subcallosal.Cortex,53
right,Subcallosal Cortex,medial,rh_Subcallosal.Cortex,54
left,Paracingulate Gyrus,medial,lh_Paracingulate.Gyrus,55
right,Paracingulate Gyrus,medial,rh_Paracingulate.Gyrus,56
left,Cingulate Gyrus ant.,medial,lh_Cingulate.Gyrus..anterior.division,57
right,Cingulate Gyrus ant.,medial,rh_Cingulate.Gyrus..anterior.division,58
left,Cingulate Gyrus post.,medial,lh_Cingulate.Gyrus..posterior.division,59
right,Cingulate Gyrus post.,medial,rh_Cingulate.Gyrus..posterior.division,60
left,Precuneous Cortex,medial,lh_Precuneous.Cortex,61
right,Precuneous Cortex,medial,rh_Precuneous.Cortex,62
left,Cuneal Cortex,medial,lh_Cuneal.Cortex,63
right,Cuneal Cortex,medial,rh_Cuneal.Cortex,64
left,Frontal Orbital Cortex,lateral,lh_Frontal.Orbital.Cortex,65
left,Frontal Orbital Cortex,medial,lh_Frontal.Orbital.Cortex,65
right,Frontal Orbital Cortex,medial,rh_Frontal.Orbital.Cortex,66
right,Frontal Orbital Cortex,lateral,rh_Frontal.Orbital.Cortex,66
left,Parahippocampal Gyrus ant.,medial,lh_Parahippocampal.Gyrus..anterior.division,67
right,Parahippocampal Gyrus ant.,medial,rh_Parahippocampal.Gyrus..anterior.division,68
left,Parahippocampal Gyrus post.,medial,lh_Parahippocampal.Gyrus..posterior.division,69
right,Parahippocampal Gyrus post.,medial,rh_Parahippocampal.Gyrus..posterior.division,70
left,Lingual Gyrus,medial,lh_Lingual.Gyrus,71
right,Lingual Gyrus,medial,rh_Lingual.Gyrus,72
left,Temporal Fusiform Cortex ant.,medial,lh_Temporal.Fusiform.Cortex..anterior.division,73
right,Temporal Fusiform Cortex ant.,medial,rh_Temporal.Fusiform.Cortex..anterior.division,74
left,Temporal Fusiform Cortex post.,medial,lh_Temporal.Fusiform.Cortex..posterior.division,75
right,Temporal Fusiform Cortex post.,medial,rh_Temporal.Fusiform.Cortex..posterior.division,76
right,Temporal Fusiform Cortex post.,lateral,rh_Temporal.Fusiform.Cortex..posterior.division,76
left,Temporal Occipital Fusiform Cortex,lateral,lh_Temporal.Occipital.Fusiform.Cortex,77
left,Temporal Occipital Fusiform Cortex,medial,lh_Temporal.Occipital.Fusiform.Cortex,77
right,Temporal Occipital Fusiform Cortex,medial,rh_Temporal.Occipital.Fusiform.Cortex,78
right,Temporal Occipital Fusiform Cortex,lateral,rh_Temporal.Occipital.Fusiform.Cortex,78
left,Occipital Fusiform Gyrus,lateral,lh_Occipital.Fusiform.Gyrus,79
left,Occipital Fusiform Gyrus,medial,lh_Occipital.Fusiform.Gyrus,79
right,Occipital Fusiform Gyrus,lateral,rh_Occipital.Fusiform.Gyrus,80
left,Frontal Operculum Cortex,lateral,lh_Frontal.Operculum.Cortex,81
right,Frontal Operculum Cortex,medial,rh_Frontal.Operculum.Cortex,82
right,Frontal Operculum Cortex,lateral,rh_Frontal.Operculum.Cortex,82
left,Central Opercular Cortex,lateral,lh_Central.Opercular.Cortex,83
right,Central Opercular Cortex,lateral,rh_Central.Opercular.Cortex,84
left,Parietal Operculum Cortex,lateral,lh_Parietal.Operculum.Cortex,85
right,Parietal Operculum Cortex,lateral,rh_Parietal.Operculum.Cortex,86
left,Planum Polare,lateral,lh_Planum.Polare,87
right,Planum Polare,lateral,rh_Planum.Polare,88
left,Heschl s Gyrus includes H1 and H2,lateral,lh_Heschl.s.Gyrus..includes.H1.and.H2.,89
right,Heschl s Gyrus includes H1 and H2,lateral,rh_Heschl.s.Gyrus..includes.H1.and.H2.,90
left,Planum Temporale,lateral,lh_Planum.Temporale,91
right,Planum Temporale,lateral,rh_Planum.Temporale,92
left,Supracalcarine Cortex,medial,lh_Supracalcarine.Cortex,93
right,Supracalcarine Cortex,medial,rh_Supracalcarine.Cortex,94
left,Occipital Pole,lateral,lh_Occipital.Pole,95
left,Occipital Pole,medial,lh_Occipital.Pole,95
right,Occipital Pole,medial,rh_Occipital.Pole,96
right,Occipital Pole,lateral,rh_Occipital.Pole,96
left,NA,medial,lh_medialwall,NA
right,NA,medial,rh_medialwall,NA
